127,1
725,1
902,1
R16,1
A27,1
229,2
418,2
M22,2
A38,2
639,3
A34,3
M20,3
R23,3
L03,4
R20,4
635,4
631,5
723,5
901,5
A36,6
E01,6
228,6
A51,7
J27,7
L22,7
232,8
423,8
R28,8
D24,9
235,9
R31,9
L02,10
132,10
D19,10
G14,11
710,11
L17,12
M08,12
L10,13
G29,13
R11,14
629,14
630,15
F11,15
D17,16
R17,16
S01,17
A45,17
239,18
S04,18
M18,19
F15,19
125,20
A24,20
M21,21
640,21
D21,22
637,22
B16,23
N04,23
D16,24
724,24
F09,25
G22,25
112,26
A09,26
414,27
D11,27
222,28
415,28
A31,29
L01,29
R33,30
F23,30
