code,alt,name,short,line,borough,complex,x,y
M09,,Knickerbocker Av,Knickerbocker,Myrtle,Brooklyn,,615172,254640
M10,,Central Av,Central,Myrtle,Brooklyn,,613240,254430
M11,,Myrtle Av-Broadway,Myrtle,Broadway,Brooklyn,,610384,254010
M12,,Flushing Av,Flushing,Broadway,Brooklyn,,608536,255366
M13,,Lorimer St,Lorimer,Broadway,Brooklyn,,606904,256590
M14,,Hewes St,Hewes,Broadway,Brooklyn,,605446,257544
M16,,Marcy Av,Marcy,Broadway,Brooklyn,,604048,258216
M18,,Essex St,Essex,Nassau St,Manhattan,Essex/Delancey,595516,262122
M19,,Bowery,Bowery,Nassau St,Manhattan,,593914,262740
M20,,Canal St,Canal,Nassau St,Manhattan,Canal St,592324,261888
M21,,Chambers St,Chambers,Nassau St,Manhattan,Chambers/Bklyn Bridge,590467,260541
M22,,Fulton St,Fulton,Nassau St,Manhattan,Fulton St/Bway-Nassau,590124,258930
M23,,Broad St,Broad,Nassau St,Manhattan,,589268,257702
N02,,8 Av,8,Sea Beach,Brooklyn,,589462,231150
N03,,Fort Hamilton Parkway,FortHamilton,Sea Beach,Brooklyn,,590884,229998
N04,,New Utrecht Av,NewUtrecht,Sea Beach,Brooklyn,62 St/New Utrecht,593485,227907
N05,,18 Av,18,Sea Beach,Brooklyn,,595660,226224
N06,,20 Av,20,Sea Beach,Brooklyn,,596878,225270
N07,,Bay Parkway,BayPkwy,Sea Beach,Brooklyn,,596989,222897
N08,,Kings Highway,KingsHwy,Sea Beach,Brooklyn,,597946,220542
N09,,Av U,AvU,Sea Beach,Brooklyn,,598444,217374
N10,,86 St,86,Sea Beach,Brooklyn,,597862,216480
Q01,,Canal St-Broadway,Canal,Broadway,Manhattan,Canal St,591988,262212
R01,,Ditmars Blvd-Astoria,Ditmars,Astoria,Queens,,617098,282870
R03,,Astoria Blvd-Hoyt Av,Astoria,Astoria,Queens,,615106,280608
R04,,30-Grand Av,30,Astoria,Queens,,614074,279474
R05,,Broadway,Broadway,Astoria,Queens,,612994,277650
R06,,36-Washington Av,36,Astoria,Queens,,611776,275718
R08,,39-Beebe Av,39,Astoria,Queens,,610888,274260
R11,,Lexington Av,Lex,60 St,Manhattan,Lex Av-59 St,601204,277982
R13,,5 Av,5,60 St,Manhattan,,599695,278736
R14,,57 St,57,Broadway,Manhattan,,597592,278817
R15,,49 St,49,Broadway,Manhattan,,596575,276987
R16,,42 St-Times Square,42,Broadway,Manhattan,Times Square,595846,274998
R17,,34 St-Herald Square,34,Broadway,Manhattan,Herald Sq,595330,272910
R18,,28 St,28,Broadway,Manhattan,,595324,271758
R19,,23 St,23,Broadway,Manhattan,,595096,270378
R20,,14 St-Union Square,14,Broadway,Manhattan,Union Sq,595054,267876
R21,,8 St-NYU,8,Broadway,Manhattan,,594382,266496
R22,,Prince St,Prince,Broadway,Manhattan,,592924,264162
R23,,Canal St,Canal,Broadway,Manhattan,Canal St,591988,262212
R24,,City Hall,CityHall,Broadway,Manhattan,,590320,260058
R25,,Cortlandt St-WTC,Cortlandt,Broadway,Manhattan,,589267,259194
R26,,Rector St,Rector,Broadway,Manhattan,,588730,258132
R27,,Whitehall St-South Ferry,Whitehall,Broadway,Manhattan,,588661,256446
R28,,Court St,Court,Montague,Brooklyn,Borough Hall/Court St,594514,252978
R29,,Lawrence St-MetroTech,Lawrence,Montague,Brooklyn,,596230,252198
R30,,DeKalb Av,DeKalb,4 Av,Brooklyn,,597514,251442
R31,,Pacific St,Pacific,4 Av,Brooklyn,Atlantic/Pacific,598288,249126
R32,,Union St,Union,4 Av,Brooklyn,,597142,246834
R33,,9 St,9,4 Av,Brooklyn,9 St/4 Av,595594,244272
R34,,Prospect Av,Prospect,4 Av,Brooklyn,,594466,242478
R35,,25 St,25,4 Av,Brooklyn,,592972,240630
R36,,36 St,36,4 Av,Brooklyn,,591202,238422
R39,,45 St,45,4 Av,Brooklyn,,589744,236574
R40,,53 St,53,4 Av,Brooklyn,,588466,234990
R41,,59 St,59,4 Av,Brooklyn,,587467,233715
R42,,Bay Ridge Av,BayRidge,4 Av,Brooklyn,,585898,231204
R43,,77 St,77,4 Av,Brooklyn,,585298,229302
R44,,86 St,86,4 Av,Brooklyn,,584572,226878
R45,,95 St-Bay Ridge,95,4 Av,Brooklyn,,583885,224667
S01,,Franklin Av,Franklin,Franklin S,Brooklyn,Franklin/Fulton,604738,248220
S03,,Park Place,ParkPl,Franklin S,Brooklyn,,604462,245670
S04,,Botanic Garden,BotanicGarden,Franklin S,Brooklyn,Franklin/Botanic Garden,604126,244380
